slideshow,position,title,body
Lesson #1: Monitoring Activities,1,,"What you do affects how you feel. By learning more about the things that make you feel better or worse, you can begin to shape your life and take control of your depression.

In this lesson you'll learn:
-   How your behavior affects your mood
-   How to use a new tool--the Activity Tracker"
Lesson #1: Monitoring Activities,2,How your behavior affects your mood,"You are what you do
ThinkFeelDo adopts a “cognitive-behavioral” approach to treating depression.  This approach comes from Cognitive-behavioral therapy. Cognitive-behavioral therapy treats depression by helping people change what they think and what they do. This approach is helpful because your behavior and your thoughts affect how you feel. Both are important, but today we are only going to look at the first part: How what you do (your behavior) affects how you feel.

Not all behaviors have the same effect on how you feel which means that the choices you make about what you do are important.

It's hard to feel good when you are not doing anything you feel good about. This idea makes a lot of sense to people after they have had a chance to think it over."
Lesson #1: Monitoring Activities,3,Keeping track of activities,"Because activities play an important role in our mood, tracking what you do and how you feel during activities can help you overcome depression. Tracking all these things might sound overwhelming, but it actually isn't so tough if you just take it one step at a time. We will start by helping you record your daily activities.  Obviously, we are not going to ask you to track everything you do on a given day, only the important activities that take up larger amounts of time. We’ll introduce a two-step process to help you get a clear idea of what you are doing that is helpful or unhelpful for your mood.  This is important information in helping you feel your best and manage times when life gets stressful."
Lesson #1: Monitoring Activities,4,But shouldn’t I wait until I have more energy?,"This still might seem like a lot of work and you might think it’s better to wait until you feel better and have more energy before you get started.  We understand this and hear this a lot. When people are feeling stressed, it's often hard to think about doing anything more. Sometimes, when your motivation is low and you've already got more than you can manage, it seems like waiting until you feel less stressed or have more time to start working on something is the best plan.

We’ve found, however, that it is actually best to just get moving and do positive activities even if you don’t feel like it. You have probably found based on your own experience that waiting until you feel better rarely works. This leads us to one of the basic ideas we will teach you in the ThinkFeelDo program: Action must come before Motivation.

If you wait until you feel like doing something, nothing will happen.  It's only by doing something that you're going to start getting motivated again.  

So don't wait until you ""feel better"" to start the tasks in this program, just get moving! You may be surprised at how helpful this will be to you.

"
Lesson #1: Monitoring Activities,5,"Using the Activity Tracker Tool
","We will be asking you to keep track of what you do and the time you spend doing it, in order to show how certain kinds of action can lead to motivation, rather than just the other way around.  To do this, you'll be using the Activity Tracker tool. You can find the Activity Tracker tool by clicking the ""Do"" button on the left-hand side of the screen. 
 
When using the Activity Tracker, the sooner you record your activities after you do them, the more accurate you will be.  In an ideal world, people would log their activity whenever they change what they are doing.  But we know that it is not possible to record every change in your activities as they happen.  Just try to keep as close of track as you can.
 
We recommend that you use the Activity Tracker more than once a day so that you can remember and enter activities sooner after you complete them. However, at a minimum, it is important to set aside some time at the end of each day to record your activities and to fill in all the gaps.  This is particularly important the first week or so you’re using the Activity Tracker."
Lesson #1: Monitoring Activities,6,Finding Patterns with the Activity Tracker,"Noticing patterns can help you change them
You can use the Activity Tracker tool to track what you do. Paying more attention to what you are (and are not doing) is an important (and necessary) step in figuring out which activities make you feel down or distressed, and which activities have the potential to lift your mood. You might notice big chunks of time when you are not doing much of anything or other patterns that add more stress to your life.
 
Everything you record on the Activity Tracker tool will be available for you and your coach to see. We’ve even made some filters and other ways of looking at your behavior that will help you learn more. As you keep using ThinkFeelDo, we’ll ask some more questions. These questions will help link your activities and your mood to give you more information to improve your life.  The Mood chart will show you how what you're doing is affecting your mood.  Often when you see your activities and mood all together, you will notice important patterns that you were not aware of!"
Lesson #1: Monitoring Activities,7,Keeping up with your Activity Tracker,"We will direct you to the Activity Tracker tool after you finish this lesson. To learn to use the Activity Tracker you should go back over your day yesterday and try to add everything you did into the Activity Tracker. This should take approximately 10 minutes to complete the first time you use it. You might have a hard time remembering what you did yesterday. That’s okay, just do your best. It’s easier, however, to add activities to the Activity Tracker as close to when they happened as possible. Over the next three days, keep track of your activities by entering the data into the Activity Tracker.  It may take a little longer the first time you use the Activity Tracker tool because there are guides to read to teach you how to use and get the most out of the Activity Tracker.  
 
Tracking your activities for these three days will be important for continuing on to the next lesson, where we'll begin using the information to change your patterns of behavior. The focus will shift from understanding your behavioral patterns to changing them."
Lesson #1: Monitoring Activities,8,Wrapping Up,"Summary: What you do impacts how you feel. Overcoming depression involves learning more about the things that help or hurt your mood and to increase the number of positive things you do. We taught you how the Activity Tracker can help you learn about these patterns.

Moving Forward: Please start using the Activity Tracker. Each day, try to make as complete a picture of your day as possible, focusing on the important activities. We recommend you complete at least 3 days of activity diaries. This will make it possible for you to identify specific behaviors that you can either change or continue in order to feel better.

We will be teaching you about other tools and concepts in the weeks ahead and they will build on the tools from previous lessons.  Give each of the tools a try.  The best way to learn new ideas is to practice!

Go ahead and click ""Do"" on the left-hand side of the screen to get started with the Activity Tracker. "
Summary #1:Monitoring Activities,1,,"Choosing activities that give you pleasure and a sense of accomplishment is extremely important in maintaining a positive mood.

Pleasurable activities are activities that lead to positive feelings like happiness or contentment. They are easy to identify because you just feel good after doing them.

Activities that provide a sense of accomplishment can help you feel satisfaction and a sense of control over your life. These are things that make you feel able to move ahead and accomplish the things you want to do and need to do. 

We will be asking you to use the Activity Tracker tool to keep track of what you do, the time you spend doing it, the amount of pleasure you get from it, and your sense of accomplishment. This will help to show how certain kinds of actions can lead to motivation and is an important step in figuring out which activities make you feel down or distressed and which activities have the potential to lift your mood.

When using the Activity Tracker, the sooner you record your activities after you do them, the more accurate you will be. We recommend that you use the Activity Tracker more than once a day so that you can remember and enter activities sooner after you complete them. Often when you see your activities all together, you will notice important patterns that you were not aware of! You will be asked to keep track of your activities every day for the next three days and enter the data into the Activity Tracker. "
Lesson #2: Scheduling Activities,1,,"Doing more positive activities can improve your mood. One way to do more positive activities is to plan and commit to doing an activity.

In this lesson you will:
-    Review the ideas behind increasing positive activities from the last lesson
-    Learn about making plans to make sure you do more positive activities
-    Learn how the Activity Tracker can help by committing to positive activities"
Lesson #2: Scheduling Activities,2,Review: Activities and your mood,"The importance of positive activities:
- For better or worse, our behaviors impact our mood.
- Positive activities make us feel better.
- One way to manage your mood is to increase the number of positive activities that you are doing.

Feeling sad, hopeless, or unmotivated can come from:
-Not doing enough positive activities
-Participating in too many activities that leave you feeling stressed and unhappy
-Avoiding activities that you don't want to do but would be helpful to do in the long run

As we move ahead and talk about positive activities, remember that this includes a range of things—spending time with family or friends, going out to dinner or a movie, getting a big task done, or even finishing up some small part of a chore instead of putting it off.  
 
The key is finding a balance between getting things done and enjoying yourself, rather than doing things that leave you feeling depressed (or avoiding things that would make you feel better). In this lesson, we'll be looking at how to plan ahead to schedule more positive activities into your life.

"
Lesson #2: Scheduling Activities,3,The Downward Spirals,"As we have discussed, a lack of activities can leave you feeling uninterested in life.  This can lead to two problem patterns.
 
1. The Motivation Spiral
When you're feeling stressed or down, your energy level goes down too.  When your energy is down, you are less motivated to do things that are positive; without those things, you feel more and more down.  Imagine if a friend invites you for dinner, but you're tired and feeling stressed out, so you stay home.  At home, there's nothing that helps you feel better, so your mood remains down, which means you're more likely to skip the next invitations too.

2. The Avoidance Spiral
When you’re feeling stressed or down, it might feel hard to get things done. When it feels hard to get things down, you might avoid things you need to do, when you avoid things you need to do the task gets bigger and harder to get started on. For example, you know you need to get the laundry done, but even looking at the huge pile of laundry leaves you feeling overwhelmed, so you turn on the TV and channel surf instead.  Sometimes, this happens when you attempt to deal with negative emotions in the shorter term, but the choices you make leave you feeling worse in the long-term. While in the moment, television may feel better than sorting laundry, as the laundry pile grows, so do the negative emotions.

Positive activities need to be increased, and negative responses decreased, in order to break out of the spirals.  We're going to start with increasing positive activities, which should help improve your motivation and energy level.

"
Lesson #2: Scheduling Activities,4,Planning Positive Activities,"Just like not doing positive activities can lead to negative spirals, doing positive activities can lead to upward spirals! Because of this, increasing the number of positive activities you do makes sense, let’s figure out how to do it!
 
One way to increase your positive activities is to schedule them. Making a formal commitment to an activity, like putting it into your calendar, increases the likelihood that you’ll follow through. Planning ahead also makes it easier to get something done. We'll go through four good ways to get started with scheduling positive activities"
Lesson #2: Scheduling Activities,5,,"1. Over the past few days, you’ve been keeping very close track of your activities using the Activity Tracker. If you go back and look at the activities you recorded you may be able to spot some activities that improve your mood.  Use the Filters in the Activity Tracker to help pick them out. These are activities we already know make you feel good. Try putting some of those into your Activity Tracker for the upcoming week.

2. It's common that when a person is feeling depressed, they stop doing activities they used to enjoy or don't get as much pleasure out of them as before. Think back to things you used to enjoy, even if you haven't done them in a while. It might even be useful to make a list of activities. Those can be great things to put on your Activity Tracker."
Lesson #2: Scheduling Activities,6,,"3. Plan ahead. Make the activity do-able, simple, and low stress. Take small steps to shape your environment to help you succeed. If you’re planning on going for a run, take out your running shoes and set them by the door. If you’re going to cook dinner, make sure you’ve gone shopping. If you’re going to tackle the laundry, make sure you have detergent.

4. Start small. Remember, you don’t have to do everything at once. If you haven’t done the laundry in awhile it might be helpful just to start with one load. If you need to clean your house, pick a room (or a corner) to get started. If you haven’t worked out in a long time, start with a short workout to get your body used to moving again. Remember even a small step is better than nothing, something beats nothing 100% of the time!"
Lesson #2: Scheduling Activities,7,,"What if positive activities I plan don't turn out to be enjoyable or give me a sense of accomplishment?
 
Remember, right now it is important to start getting active. It is true that some people don't enjoy things as much as they used to once they start getting active again—this is something that can improve as you go along. On the other hand, you may find you get more enjoyment or satisfaction than you expect! Isn't it worth a try? Again, something beats nothing 100% of the time!
"
Lesson #2: Scheduling Activities,8,"Keeping up with your Activity Tracker
","Try the Activity Tracker tool after you finish this lesson. This time when you use the Activity Tracker you should schedule activities you plan to do rather than activities you’ve already done. The first time you use it, plan one new positive activity a day for the next three days. This should take just a few minutes to complete the first time you use it. If you need help learning how to schedule activities on the Activity Tracker Tool, there are guides to read to teach you how to use and get the most out of the Activity Tracker.  "
Lesson #2: Scheduling Activities,9,Wrapping Up,"Summary: Doing more positive activities can make you feel better. Scheduling and committing to an activity increases the likelihood that you’ll do it. Overcoming depression involves doing more of the things that help your mood. We taught you how the Activity Tracker can help you plan activities that will help you learn more about the link between your actions and your mood.

Moving forward: We recommend using the Activity Tracker to plan activities. Start out by trying to schedule one new positive activity each day. After you do the activity, go back to your Activity Tracker to rate the activity. You can continue to track other activities with your Activity Tracker but to overcome depression you need to both learn about your current activities and change what you’re doing. Getting better is about doing new things.

Go ahead and click ""Do"" on the left-hand side of the screen to use your Activity Tracker to schedule an activity. "
Summary #2: Scheduling Activities,1,,"Negative emotions are complicated. Feeling sad, hopeless, or unmotivated can come from:
   -Not doing enough pleasurable activities
   -Not doing activities that provide a sense of accomplishment
   -Participating in too many activities that leave you feeling stressed and unhappy
   -Avoiding activities that you don't want to do

This can lead to two problem patterns:

The Motivation Spiral - When you're feeling stressed or down, your energy level goes down too.  When your energy is down, you are less motivated to do things that are positive; without those things, you feel more and more down. 

The Avoidance Spiral - This occurs when your attempts to deal with negative emtoions help in the short term, but eventually, just leave you feeling worse, which may cause you to continue to respond poorly to the situation. 

In order to break out of the spirals, positive activities need to be increased and negative responses decreased. One way to increase your positive activities is to schedule them. In the past week, you’ve been keeping very close track of your activities. Try putting some of the positive activities you’ve been tracking into your Activity Tracker for the upcoming week. It's common that when a person is feeling depressed, they stop doing activities they used to enjoy or don't get as much pleasure out of them as before. Think back to things you used to enjoy, even if you haven't done them in a while. Those can be great things to put on your Activity Tracker. It is true that some people don't enjoy things as much as they used to once they start getting active again—this is something that can improve as you go along."
Lesson #3: Unhelpful Thoughts,1,,"The thoughts you have affect how you feel and behave. Many of our thoughts are “automatic,” which means that we don’t try to think them, they just come to us. Negative automatic thoughts are unhelpful because they are often unrealistic, unbalanced interpretations of situations that make us feel bad or prevent us from doing what we need to do. Noticing our thoughts can help us learn to change them and gain more control over our mood.

In this lesson you’ll learn:

-  Your thoughts, both positive and negative, affect how you feel and behave
-  To examine how you think and feel as a result of unpleasant situations
-  How using the Thought Tracker Tool to help you become more aware of how you behave over time

"
Lesson #3: Unhelpful Thoughts,2,,"Your thoughts, both positive and negative, affect how you feel and behave

So far, we’ve talked about how what we do and how we feel are related. But, in Cognitive-Behavioral Therapy, another important idea is what we think and how we feel are related. In this lesson, we'll start to talk more about this and learn how noticing what goes through your mind can help improve your mood.  "
Lesson #3: Unhelpful Thoughts,3,We Are What We Think,"You probably don't spend much time thinking about how blood flows through your body. If you pay attention to your heart rate, you can probably affect it a little, by changing your breathing or by exercising. But, if you stopped paying attention to it, your heart would still keep on beating.

Just like your heart pumps blood, the function of your brain, in part, is to produce thoughts. Some of these we are consciously aware of; others are produced more automatically. These “automatic thoughts” are going on all the time, even if we're not really paying attention to them.

Some automatic thoughts may be pleasant or positive. Others can be neutral. And still others are negative or unhelpful (e.g., ""I can't do anything right.""). We all have negative thoughts from time to time, but they become a problem if they happen too often or if we give too much power to them. Negative automatic thoughts make us feel sad, unmotivated, anxious, irritiable, ashamed - any number of negative feelings. And regardless of whether or not we are aware of our automatic thoughts, they do have an impact on how we interpret the world and how we feel."
Lesson #3: Unhelpful Thoughts,4,Unhelpful Thoughts,"We will call these negative automatic thoughts ""unhelpful"" because they really don't help us manage our problems, find reasonable solutions, or be part of satisfying activities.

Often, unhelpful thoughts are inaccurate perceptions of the situation. We tend to accept automatic thoughts, including these unhelpful and inaccurate thoughts, as true, even when they are not. Accepting these negative automatic thoughts as true, without any kind of evaluation, can lead to negative emotions. Thoughts are not facts."
Lesson #3: Unhelpful Thoughts,5,An Example of an Automatic Thought,"The following story shows how automatic thoughts can affect your mood:

Imagine that you are in a crowded elevator. Suddenly, you feel something poke you from behind. Then you feel somebody's finger touch your back a second time.

What might go through your mind in this situation? What thoughts do you think you would have?

What do you think you might feel? Irritated? Angry? Frightened?

Imagine that you turn around and see that the person who poked you is wearing dark sunglasses and carrying a white cane. You think to yourself, ""Oh they didn’t mean anything of it, this person is blind.""  

What might you feel then?  Sympathy? Concern?

Notice how new information, a different perspective, and most important, different thoughts, can change how you feel about a situation."
Lesson #3: Unhelpful Thoughts,6,Points to Keep in Mind,"We will focus on the unhelpful thoughts (as opposed to other kinds of automatic thoughts) because those are the ones that cause problems.

Often these automatic thoughts go by very quickly, and it can be hard to recognize them. The first step will be learning to be aware of them.

Once you are able to recognize these negative thoughts, you will learn techniques to change them. We are not suggesting you should just ""think positive.""  Rather, the goal is to ""think realistic and balanced."" You will learn to do this first by becoming more aware of your unhelpful thoughts, and then learning how to evaluate and change them, so that they can become more realistic and balanced."
Lesson #3: Unhelpful Thoughts,7,Identifying Automatic Thoughts,"Try to remember the last time something happened that caused you to feel a fairly strong emotion—positive or negative. If possible, find something that happened today or yesterday so the experience is fresh in your mind.

Consider the following questions about the situation:
-What happened?
-Who were you with?
-Where were you?
-What were you doing?"
Lesson #3: Unhelpful Thoughts,8,Identifying Automatic Thoughts,"Consider the feelings you experienced in that situation.

Choose a feeling from below that describes how you were feeling:
-Sad
-Depressed
-Anxious
-Nervous
-Angry
-Overwhelmed
-Hopeless
-Jealous

Even though it's typical to have several or many emotions in response to a situation, we'll start with just one feeling, to simplify the exercise.

Notice that when we talk about an emotion, it's almost always going to be a one-word label. When labeling an emotion, there's no ""why"" (e.g., no ""angry because he did...""), just the emotion. The ""because"" or explanation component is part of the thought, which comes next."
Lesson #3: Unhelpful Thoughts,9,Identifying Automatic Thoughts,"Identifying the thought can sometimes be difficult. A thought is a sentence you tell yourself or an image that passes through your mind. By a thought, we mean the exact words that went through your head at that moment. To help, here's a list of questions you can ask yourself to figure out what you were thinking at the time. You don't need to answer every question—just focus on the ones that seem to get at why your emotional response in this situation was as strong as it was:

What was going through my mind right then?
What does this situation say or mean about me? My life? My future?
What was I afraid might happen?
What did my role in this situation mean about how other people feel or think about me?
What does this event mean about other people in general?
What images or memories do I have about this situation?"
Lesson #3: Unhelpful Thoughts,10,Using the Thought Tracker Tool,"We will direct you to the Thought Tracker tool after you finish this lesson. To learn to use the Thought Tracker, go back over your day yesterday and identify a situation when you felt bad. You can use the Thought Tracker to record what went through your mind in that situation. This should take approximately 10 minutes to complete the first time you use it. You might have a hard time remembering exactly what went through your mind during an upsetting situation yesterday. That’s okay, just do your best. It’s easier, however, to use the Thought Tracker as soon after a situation as possible, so you can remember the exact words that went through your mind. Over the next three days, keep track of your thoughts by entering them into the Thought Tracker.  It may take a little longer the first time you use the Thought Tracker tool because there are guides to read to teach you how to use and get the most out of the Thought Tracker.  

The more frequently you do use the Thought Tracker, the better you will become at identifying your thinking patterns.

And as you get better at understanding your thoughts, it will become easier to control the way you think.

Changing how you think, in turn, will help you to feel better and experience more satisfaction with your life.

Just like with the Activity Tracker, what you enter on your Thought Tracker will be shared with your coach. This may seem more personal than sharing your activities, but sharing your thoughts with others is a great way to get different perspectives on a situation. Enlisting other people may help you be able to come up with better ways to handle a challenge.  "
Lesson #3: Unhelpful Thoughts,11,Wrapping Up,"Summary: Automatic thoughts set us up for feeling certain ways. When automatic thoughts are negative and unhelpful, it's very easy to get tricked into feeling bad or giving up. By identifying and understanding our unhelpful automatic thoughts, we can begin to identify when our perceptions are inaccurate, and work to correct these. By controlling the ways we think, we can positively influence our emotions.

Moving forward: We recommend you start using the Thought Tracker to examine thoughts and feelings in specific situations. Start out by using the Thought Tracker to examine the thoughts you had in a situation earlier today or yesterday.  To continue forward, make sure to track 1 or 2 thoughts per day over the next 3 days. You can continue to schedule and track activities with your Activity Tracker, and increasing the number of positive activities you do is still important, but to overcome depression, it’s also important to learn how thoughts impact your mood and how changing your thinking can even help you do more positive things!  Using the Thought Tool will prepare you for future lessons, where we'll talk more about thoughts and their role in our mood and behavior.

You now have learned the most important basic concepts in Cognitive-Behavioral Therapy. That our thoughts, feelings, and behaviors are related and that we can learn more about ourselves and gain control of our mood and our lives by noticing and changing our thoughts and behaviors. This is why we call this site: ThinkFeelDo. The Activity Tracker and Thought Tracker are designed to help put these concepts into action, so use them as much as possible. We’ll continue to teach you more about Cognitive-Behavioral Therapy in future lessons.  

Go ahead and click ""Think"" on the left-hand side of the screen to get started with the Thought Tracker. "
Summary #3: Unhelpful Thoughts,1,,"Your thoughts affect how you feel and behave. You can help manage how you feel by monitoring how you think about things in your life.

Automatic Thoughts: Your brain produces thoughts that sometimes occur without you paying attention to them. You might not be aware of them, but they do affect how you feel and interpret the world.

Negative/Unhelpful Thoughts: Some automatic thoughts can be negative (e.g., “I can’t do anything right”). They make us feel bad and don’t help us manage our problems. They are often inaccurate perceptions of situations.

Monitoring Unhelpful Thoughts: When was the last time something happened that caused you to feel a strong emotion? What happened? Who were you with? 

Consider the feelings you experienced in that situation.

Now that you've described the situation and how it made you feel, identify the thought. Ask yourself: What did I conclude about the situation that led to my emotion? What was going through my mind right then? What does this situation say or mean about me? My life? My future? What was I afraid might happen?

This exercise is the basis for the Thought Tracker. Use it to become better at identifying your thinking patterns."
Lesson #4: Different Types of Positive Activities: Pleasure and Mastery,1,,"Activities can benefit us in different ways. Some activities make us feel happy, joyful, content, or relaxed others help us reach our goals and make us feel accomplished and capable. Both of these types of activities are important for promoting a healthy mood and life.

In this lesson you'll learn:
-    Activities can be positive in different ways.
-    What makes an activity “positive” including “pleasure” and “accomplishment”
-    Why increasing pleasurable activities and meaningful activities are both important."
Lesson #4: Different Types of Positive Activities: Pleasure and Mastery,2,"Different Types of Positive Activities
","Not all activities are created equal. Just like some activities improve your mood and other activities hurt your mood, activities can be positive in different ways. These activities might be useful at different times. Sometimes it is important to relax to allow the body and mind a chance to recover. Other times it may be important to do something really fun, to laugh and try to enjoy life again after a tough couple weeks of experiencing a really low mood. And still other times, it is important to get things done to help keep up with your chores and accomplish your goals. All of these things can help your mood. Some may do so more in the short-term and others might be more beneficial in the long-term. Let’s start by learning about what makes pleasure and a sense of accomplishment helpful."
Lesson #4: Different Types of Positive Activities: Pleasure and Mastery,3,"How activities that give you pleasure and a sense of accomplishment are beneficial:
","How activities that give you pleasure and a sense of accomplishment are beneficial:

Two kinds of positive
Although ""pleasure"" and ""a sense of accomplishment"" sound similar, they are not exactly the same.
-    Pleasure refers to the positive feelings, like happiness or contentment, you feel while doing an activity. These activities are easy to identify because you just feel good after doing them.
-    Sense of accomplishment refers to the satisfaction and a sense of control over your life you experience while doing an activity. These are things that make you feel able to move ahead and accomplish the things you want to do and need to do.  

Positive activities might be high in pleasure, high in accomplishment, or both. When you rate or schedule an activity, you can rate how much pleasure and sense of accomplishment you experienced or think you will experience.  "
Lesson #4: Different Types of Positive Activities: Pleasure and Mastery,4,Using the Activity Tracker to Increase Pleasure and Accomplishment,"Every positive thing you do is one step closer to a healthy mood
Clearly, experiencing pleasure and a sense of accomplishment from the things you do is extremely important in maintaining a positive mood.  You can use the Activity Tracker tool to track the amount of pleasure and sense of accomplishment you are experiencing over various time periods. This is an important (and necessary) step in figuring out which activities make you feel down or distressed, and which activities have the potential to lift your mood.

The most important goal, however, is to increase the amount of pleasure and accomplishment you experience. Based on what you are currently doing that might mean planning more pleasurable activities, more activities that provide a sense of accomplishment, or both. Tracking the amount of pleasure and accomplishment you are experiencing in different activities can give you an idea of what activities to schedule in the future. Also, predicting how much pleasure and accomplishment you will experience in different activities gives you a good idea if you’re on the right track."
Lesson #4: Different Types of Positive Activities: Pleasure and Mastery,5,Wrapping Up,"Summary: Positive activities can either be pleasurable, provide a sense of accomplishment, or both. All of these activities can improve your mood and having a balance of activities from these different categories is important to create a healthy and happy life.

Moving forward: Before you move on to the next lesson, you need to use the Activity Tracker to increase the amount of pleasure and accomplishment in your life. Start out by trying to schedule pleasurable activity or activity that will provide a sense of accomplishment each day. We’ll ask you to rate pleasure and accomplishment on a 1-10 scale so you might start by finding activities that are a 6 or greater. Over time, you might look for activities that provide more pleasure and accomplishment, but it’s good to start small and build on your success. After you do the activity, go back to your Activity Tracker to rate how much pleasure and accomplishment you experienced. You can continue to note thoughts on the Thought Tracker as changing both what you do and what you think is helpful for overcoming depression.  "
Summary #4: Different types of positive activities,1,,"Not all activities are created equal. There are two important types of positive activities: those which bring you pleasure and those which give you a sense of accomplishment.  Pleasure refers to activities which bring emotions like contentment or happiness.  Accomplishment activities generate a sense of satisfaction and control over your life.  By increasing both types of activities in your life, and ideally replacing activities that generate problem emotions, you can take control of your mood.  The Activity Tracker is here to help you with that task!"
